3200 rue Jean-Brillant,45.49869615277711, -73.61837733088691
Campus MIL,45.52321560692185, -73.61964977321544
Campus de Saint-Hyacinthe,45.620964331491415, -72.96657098855336
Cepsum,45.50879970900878, -73.61327768855713
Pavillon André-Aisenstadt,45.50124930434351, -73.61573488671026
Pavillon Jean-Coutu,45.50045997347204, -73.6147671986653
Pavillon Liliane-De-Stewart,45.50980130660043, -73.61925130205117
Pavillon Lionel-Groulx,45.49953769180418, -73.6183292597221
Pavillon Marie-Victorin,45.51079917407623, -73.61159104184188
Pavillon Maximilien-Caron,45.49876641300788, -73.61699093088687
Pavillon Roger-Gaudry,45.50281677249842, -73.61509567465617
Pavillon de la Faculté de Musique,45.509379713232626, -73.60866752165107
Pavillon de la Faculté de l’Aménagement,45.50491025275026, -73.62126301300778
